Station Name,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Collection Time,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Collection Time
"Sion, Mumbai, India",46,46.0,25.0,6.8,9.3,10.8,4.5,19.047,72.8746,2024-08-28 23:00:00,94,94,N/A,2.7,2.6,N/A,0.4,2024-08-28 23:00:00
"Deonar, Mumbai, India",52,52.0,30.0,3.7,7.5,16.2,,19.04946,72.923,2024-08-28 23:00:00,45,N/A,45,N/A,N/A,N/A,N/A,2024-08-28 23:00:00
"Kurla, Mumbai, India",53,53.0,27.0,5.8,4.7,7.9,2.1,19.0863,72.8888,2024-08-28 23:00:00,46,46,25,6.8,9.3,10.8,4.5,2024-08-28 23:00:00
"Vile Parle West, Mumbai, India",50,50.0,47.0,1.3,12.9,3.3,5.6,19.10861,72.83622,2024-08-28 23:00:00,52,52,30,3.7,7.5,16.2,N/A,2024-08-28 23:00:00
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai, India",51,51.0,37.0,2.9,5.2,4.2,2.0,19.10078,72.87462,2024-08-28 23:00:00,51,51,37,2.9,5.2,4.2,2,2024-08-28 23:00:00
"Chakala-Andheri East, Mumbai, India",3,,,2.9,7.3,3.0,0.4,19.11074,72.86084,2024-08-28 23:00:00,41,41,33,2,6.8,5.8,4,2024-08-28 23:00:00
"Khindipada-Bhandup West, Mumbai, India",54,54.0,31.0,13.3,2.6,0.1,6.8,19.1653323,72.922099,2024-08-28 17:00:00,42,42,40,6.6,4.5,1.9,2.8,2024-08-28 23:00:00
"Mazgaon, Mumbai, India",45,,45.0,,,,,18.96702,72.84214,2024-08-28 23:00:00,36,36,28,1,1.2,1,0.9,2024-08-28 23:00:00
"Borivali East MPCB, Mumbai, India",36,36.0,28.0,1.0,1.2,1.0,0.9,19.2243333,72.8658113,2024-08-28 23:00:00,85,85,50,3.6,1.8,6.1,1.7,2024-08-28 23:00:00
"Powai, Mumbai, India",41,41.0,33.0,2.0,6.8,5.8,4.0,19.1375,72.915056,2024-08-28 23:00:00,3,N/A,N/A,2.9,7.3,3,0.4,2024-08-28 23:00:00
"Kandivali East, Mumbai, India",42,42.0,40.0,6.6,4.5,1.9,2.8,19.2058,72.8682,2024-08-28 23:00:00,66,66,42,4.3,9.2,3,1.7,2024-08-28 23:00:00
"Mulund West, Mumbai, India",42,42.0,35.0,3.0,6.3,7.1,2.0,19.175,72.9419,2024-08-28 23:00:00,53,53,27,5.8,4.7,7.9,2.1,2024-08-28 23:00:00
"Malad West, Mumbai, India",94,94.0,,2.7,2.6,,0.4,19.19709,72.82204,2024-08-28 23:00:00,54,54,31,13.3,2.6,0.1,6.8,2024-08-28 17:00:00
"Colaba, Mumbai, India",66,66.0,42.0,4.3,9.2,3.0,1.7,18.91,72.82,2024-08-28 23:00:00,42,42,35,3,6.3,7.1,2,2024-08-28 23:00:00
"Worli, Mumbai, India",85,85.0,50.0,3.6,1.8,6.1,1.7,18.9936162,72.8128113,2024-08-28 23:00:00,60,60,23,10.1,15.6,2.3,6.9,2024-08-28 23:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",30,30.0,,,,,,19.072830200195,72.882606506348,2024-08-28 23:00:00,30,30,N/A,N/A,N/A,N/A,N/A,2024-08-28 23:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",35,,35.0,5.2,2.4,1.6,6.0,19.192056,72.9585188,2024-08-28 23:00:00,50,50,47,1.3,12.8,3.3,5.5,2024-08-28 23:00:00
"Navy Nagar-Colaba, Mumbai, India",60,60.0,23.0,10.1,15.6,2.3,6.9,18.897756,72.81332,2024-08-28 23:00:00,35,N/A,35,5.2,2.4,1.6,6,2024-08-28 23:00:00
