Station Name,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Collection Time,AQI.1,PM2.5.1,PM10.1,O3.1,NO2.1,SO2.1,CO.1,Collection Time.1,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Collection Time
"Sion, Mumbai, India",46.0,46.0,25.0,6.8,9.3,10.8,4.5,19.047,72.8746,2024-08-28 23:00:00,94.0,94.0,,2.7,2.6,,0.4,2024-08-28 23:00:00,47,47,34,3,3.4,3.2,1.3,2024-09-29 17:00:00
"Deonar, Mumbai, India",52.0,52.0,30.0,3.7,7.5,16.2,,19.04946,72.923,2024-08-28 23:00:00,45.0,,45.0,,,,,2024-08-28 23:00:00,39,39,37,6.6,3.2,1.7,3,2024-09-29 16:00:00
"Kurla, Mumbai, India",53.0,53.0,27.0,5.8,4.7,7.9,2.1,19.0863,72.8888,2024-08-28 23:00:00,46.0,46.0,25.0,6.8,9.3,10.8,4.5,2024-08-28 23:00:00,-,47,N/A,11.9,5.7,N/A,0.4,2024-09-28 00:00:00
"Vile Parle West, Mumbai, India",50.0,50.0,47.0,1.3,12.9,3.3,5.6,19.10861,72.83622,2024-08-28 23:00:00,52.0,52.0,30.0,3.7,7.5,16.2,,2024-08-28 23:00:00,19,N/A,9,18.6,4.8,2.5,8.4,2024-09-29 17:00:00
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai, India",51.0,51.0,37.0,2.9,5.2,4.2,2.0,19.10078,72.87462,2024-08-28 23:00:00,51.0,51.0,37.0,2.9,5.2,4.2,2.0,2024-08-28 23:00:00,12,12,3,10.8,2.4,N/A,0.2,2024-09-29 16:00:00
"Chakala-Andheri East, Mumbai, India",3.0,,,2.9,7.3,3.0,0.4,19.11074,72.86084,2024-08-28 23:00:00,41.0,41.0,33.0,2.0,6.8,5.8,4.0,2024-08-28 23:00:00,9,9,N/A,N/A,N/A,N/A,N/A,2024-09-29 16:00:00
"Khindipada-Bhandup West, Mumbai, India",54.0,54.0,31.0,13.3,2.6,0.1,6.8,19.1653323,72.922099,2024-08-28 17:00:00,42.0,42.0,40.0,6.6,4.5,1.9,2.8,2024-08-28 23:00:00,74,74,53,5.9,5.3,7.9,1.1,2024-09-29 17:00:00
"Mazgaon, Mumbai, India",45.0,,45.0,,,,,18.96702,72.84214,2024-08-28 23:00:00,36.0,36.0,28.0,1.0,1.2,1.0,0.9,2024-08-28 23:00:00,23,13,23,4.3,11.4,8.6,5.6,2024-09-29 17:00:00
"Borivali East MPCB, Mumbai, India",36.0,36.0,28.0,1.0,1.2,1.0,0.9,19.2243333,72.8658113,2024-08-28 23:00:00,85.0,85.0,50.0,3.6,1.8,6.1,1.7,2024-08-28 23:00:00,-,64,10,36.2,17.7,0.1,10.6,2024-09-25 16:00:00
"Powai, Mumbai, India",41.0,41.0,33.0,2.0,6.8,5.8,4.0,19.1375,72.915056,2024-08-28 23:00:00,3.0,,,2.9,7.3,3.0,0.4,2024-08-28 23:00:00,13,13,12,4.9,5.2,6.2,N/A,2024-09-29 17:00:00
"Kandivali East, Mumbai, India",42.0,42.0,40.0,6.6,4.5,1.9,2.8,19.2058,72.8682,2024-08-28 23:00:00,66.0,66.0,42.0,4.3,9.2,3.0,1.7,2024-08-28 23:00:00,28,28,12,8.8,4.1,0.4,1.3,2024-09-29 17:00:00
"Mulund West, Mumbai, India",42.0,42.0,35.0,3.0,6.3,7.1,2.0,19.175,72.9419,2024-08-28 23:00:00,53.0,53.0,27.0,5.8,4.7,7.9,2.1,2024-08-28 23:00:00,40,27,40,1.2,11.2,3.3,6,2024-09-29 16:00:00
"Malad West, Mumbai, India",94.0,94.0,,2.7,2.6,,0.4,19.19709,72.82204,2024-08-28 23:00:00,54.0,54.0,31.0,13.3,2.6,0.1,6.8,2024-08-28 17:00:00,45,35,45,2.3,7.9,5.7,3.3,2024-09-29 17:00:00
"Colaba, Mumbai, India",66.0,66.0,42.0,4.3,9.2,3.0,1.7,18.91,72.82,2024-08-28 23:00:00,42.0,42.0,35.0,3.0,6.3,7.1,2.0,2024-08-28 23:00:00,4,N/A,N/A,3.7,4.1,N/A,0.3,2024-09-29 17:00:00
"Worli, Mumbai, India",85.0,85.0,50.0,3.6,1.8,6.1,1.7,18.9936162,72.8128113,2024-08-28 23:00:00,60.0,60.0,23.0,10.1,15.6,2.3,6.9,2024-08-28 23:00:00,28,28,26,10.4,1.4,4.6,5.3,2024-09-29 16:00:00
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",30.0,30.0,,,,,,19.072830200195,72.882606506348,2024-08-28 23:00:00,30.0,30.0,,,,,,2024-08-28 23:00:00,68,68,29,2.9,1.1,6.7,1,2024-09-29 17:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",35.0,,35.0,5.2,2.4,1.6,6.0,19.192056,72.9585188,2024-08-28 23:00:00,50.0,50.0,47.0,1.3,12.8,3.3,5.5,2024-08-28 23:00:00,61,61,22,15.8,6.8,4.5,N/A,2024-09-29 16:00:00
"Navy Nagar-Colaba, Mumbai, India",60.0,60.0,23.0,10.1,15.6,2.3,6.9,18.897756,72.81332,2024-08-28 23:00:00,35.0,,35.0,5.2,2.4,1.6,6.0,2024-08-28 23:00:00,16,12,16,3.2,5.9,7,1.8,2024-09-29 16:00:00
,,,,,,,,,,,,,,,,,,,13,13,13,1,1.9,2.4,2.2,2024-09-29 17:00:00
